subject,story_id,age,att,rating,condition
18,S12,24,heard,2,locative prep
18,S13,24,heard,0,by phrase (locative)
18,S15,24,heard,3,temporal prep
19,S05,38,inattentive,2,locative prep
19,S16,38,inattentive,1,temporal prep
19,S01,38,inattentive,4,locative prep
19,S13,38,inattentive,3,locative prep
19,S19,38,inattentive,4,by phrase (agentive)
19,S12,38,inattentive,3,temporal prep
19,S03,38,inattentive,4,by phrase (agentive)
19,S15,38,inattentive,2,by phrase (agentive)
19,S06,38,inattentive,1,by phrase (locative)
19,S20,38,inattentive,2,temporal prep
19,S09,38,inattentive,4,locative prep
19,S08,38,inattentive,1,temporal prep
19,S14,38,inattentive,1,by phrase (locative)
19,S11,38,inattentive,4,by phrase (agentive)
19,S17,38,inattentive,4,locative prep
19,S18,38,inattentive,2,by phrase (locative)
19,S02,38,inattentive,0,by phrase (locative)
19,S10,38,inattentive,1,by phrase (locative)
19,S04,38,inattentive,2,temporal prep
19,S07,38,inattentive,4,by phrase (agentive)
20,S18,20,I don't know,4,by phrase (agentive)
20,S07,20,I don't know,3,temporal prep
20,S13,20,I don't know,2,by phrase (locative)
20,S04,20,I don't know,2,locative prep
20,S03,20,I don't know,4,temporal prep
20,S08,20,I don't know,0,locative prep
20,S06,20,I don't know,0,by phrase (agentive)
20,S10,20,I don't know,4,by phrase (agentive)
20,S01,20,I don't know,1,by phrase (locative)
20,S17,20,I don't know,1,by phrase (locative)
20,S09,20,I don't know,1,by phrase (locative)
20,S05,20,I don't know,1,by phrase (locative)
20,S11,20,I don't know,3,temporal prep
20,S02,20,I don't know,2,by phrase (agentive)
20,S15,20,I don't know,4,temporal prep
20,S16,20,I don't know,3,locative prep
20,S12,20,I don't know,0,locative prep
20,S20,20,I don't know,4,locative prep
20,S14,20,I don't know,4,by phrase (agentive)
20,S19,20,I don't know,4,temporal prep
21,S05,28,Careful,3,locative prep
21,S01,28,Careful,2,locative prep
21,S19,28,Careful,4,by phrase (agentive)
21,S11,28,Careful,4,by phrase (agentive)
21,S07,28,Careful,2,by phrase (agentive)
21,S09,28,Careful,1,locative prep
21,S03,28,Careful,1,by phrase (agentive)
21,S12,28,Careful,1,temporal prep
21,S06,28,Careful,1,by phrase (locative)
21,S04,28,Careful,1,temporal prep
21,S20,28,Careful,4,temporal prep
21,S15,28,Careful,3,by phrase (agentive)
21,S18,28,Careful,2,by phrase (locative)
21,S17,28,Careful,2,locative prep
21,S13,28,Careful,2,locative prep
21,S08,28,Careful,1,temporal prep
21,S16,28,Careful,1,temporal prep
21,S02,28,Careful,1,by phrase (locative)
21,S10,28,Careful,1,by phrase (locative)
21,S14,28,Careful,1,by phrase (locative)
22,S17,26,apologize,4,by phrase (locative)
22,S02,26,apologize,3,by phrase (agentive)
22,S16,26,apologize,2,locative prep
22,S05,26,apologize,1,by phrase (locative)
22,S14,26,apologize,3,by phrase (agentive)
22,S01,26,apologize,0,by phrase (locative)
22,S10,26,apologize,3,by phrase (agentive)
22,S07,26,apologize,3,temporal prep
22,S18,26,apologize,0,by phrase (agentive)
22,S08,26,apologize,2,locative prep
22,S09,26,apologize,0,by phrase (locative)
22,S13,26,apologize,0,by phrase (locative)
22,S04,26,apologize,1,locative prep
22,S03,26,apologize,3,temporal prep
22,S15,26,apologize,2,temporal prep
22,S11,26,apologize,2,temporal prep
22,S19,26,apologize,4,temporal prep
22,S12,26,apologize,2,locative prep
22,S20,26,apologize,2,locative prep
22,S06,26,apologize,0,by phrase (agentive)
23,S06,20,Less,0,locative prep
23,S01,20,Less,1,temporal prep
23,S19,20,Less,4,by phrase (locative)
23,S14,20,Less,4,locative prep
23,S16,20,Less,4,by phrase (agentive)
23,S11,20,Less,2,by phrase (locative)
23,S10,20,Less,3,locative prep
23,S17,20,Less,2,temporal prep
23,S07,20,Less,1,by phrase (locative)
23,S20,20,Less,2,by phrase (agentive)
23,S15,20,Less,2,by phrase (locative)
23,S05,20,Less,3,temporal prep
23,S02,20,Less,3,locative prep
23,S12,20,Less,3,by phrase (agentive)
23,S13,20,Less,3,temporal prep
23,S04,20,Less,2,by phrase (agentive)
23,S08,20,Less,1,by phrase (agentive)
23,S09,20,Less,2,temporal prep
23,S03,20,Less,1,by phrase (locative)
23,S18,20,Less,2,locative prep
24,S20,25,hurried,3,by phrase (agentive)
24,S02,25,hurried,3,locative prep
24,S04,25,hurried,1,by phrase (agentive)
24,S15,25,hurried,0,by phrase (locative)
24,S05,25,hurried,3,temporal prep
24,S12,25,hurried,4,by phrase (agentive)
24,S18,25,hurried,4,locative prep
24,S17,25,hurried,3,temporal prep
24,S06,25,hurried,1,locative prep
24,S07,25,hurried,0,by phrase (locative)
24,S01,25,hurried,3,temporal prep
